alimento,categoria,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,fibra_g,acido_folico_ug,calcio_mg,hierro_mg,sodio_mg,azucar_equiv_g,indice_glucemico,carga_glucemica,clave,colesterol_mg,vitamina_a_ug_re,selenio_ug,categoria_grasa,azucar_por_equivalente_g,categoria_leche,peso_bruto_redondeado_g,hidratos_carbono_g,acido_ascorbico_mg,hierro_no_hem_mg,potasio_mg,fosforo_mg,indice_glicemico,carga_glicemica,etanol_g,subcategoria,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,grupo,generico,cantidad,verdura,fruta,cereal_sin_grasa,cereal_con_grasa,leguminosa,muy_bajo_aporte_grasa,bajo_aporte_grasa,moderado_aporte_grasa,alto_aporte_grasa,leche_descremada,leche_semidescremada,leche_entera,leche_con_azucar,grasa_sin_proteina,grasa_con_proteina,azucar,azucar_con_grasa,etanol,alimentos_libres_energia,kcal,proteina,lipidos,hidratos_carbono,restaurante,producto,kcal_por_equivalentes,aoambag,aoabag,aoamag,azucar_sin_grasa,verduras,frutas,leguminosas,libre
Té helado en polvo,Azúcares sin grasa,4,cucharadita,NA,10,41,0,0.1,NA,NA,NA,NA,NA,0.5,NA,NA,NA,9107,NA,NA,NA,NA,9.7,NA,10,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aderezo blue cheese bajo en calorías,Azúcares con grasa,4,cucharada,NA,60,86,1.7,15,NA,NA,NA,NA,NA,582.9,NA,NA,NA,9108,NA,NA,NA,NA,5.1,NA,60,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aderezo de miel,Azúcares con grasa,4,cucharada,NA,64,70,2.5,2.4,NA,NA,NA,NA,NA,526.7,NA,NA,NA,9109,NA,NA,NA,NA,7.7,NA,64,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aderezo de miel y mostaza bajo en calorías,Azúcares con grasa,3,cucharada,NA,45,64,1.3,1.8,NA,NA,NA,NA,NA,424.3,NA,NA,NA,9110,NA,NA,NA,NA,6.4,NA,45,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aderezo francés bajo en calorías,Azúcares con grasa,4,cucharada,NA,60,79,0,3.4,NA,NA,NA,NA,NA,472.5,NA,NA,NA,9111,NA,NA,NA,NA,NA,NA,60,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aderezo mil islas bajo en calorías,Azúcares con grasa,4,cucharada,NA,60,96,0.4,6.4,NA,NA,NA,NA,NA,600,NA,NA,NA,9112,NA,NA,NA,NA,NA,NA,60,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aderezo ranch bajo en calorías,Azúcares con grasa,3,cucharada,NA,45,64,1.3,2.8,NA,NA,NA,NA,NA,398.6,NA,NA,NA,9113,NA,NA,NA,NA,2.6,NA,45,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aderezo ruso bajo en calorías,Azúcares con grasa,3,cucharada,NA,45,65,0.3,1.7,NA,NA,NA,NA,NA,390.9,NA,NA,NA,9114,NA,NA,NA,NA,NA,NA,45,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aderezo tipo cesar bajo en calorías,Azúcares con grasa,3,cucharada,NA,45,87,1.5,7.3,NA,NA,NA,NA,NA,812.9,NA,NA,NA,9115,NA,NA,NA,NA,2.9,NA,45,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almendra con chocolate,Azúcares con grasa,15,g,NA,15,77,1.4,5.6,NA,NA,NA,NA,NA,1.4,NA,NA,NA,9116,NA,NA,NA,NA,4,NA,15,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond joy,Azúcares con grasa,0.3333333333333333,pieza,NA,16,80,4.3,4.3,NA,NA,NA,NA,NA,23.8,NA,NA,NA,9117,NA,NA,NA,NA,7.4,NA,16,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond joy miniatura,Azúcares con grasa,1,pieza,NA,20,98,5.3,5.3,NA,NA,NA,NA,NA,29.4,NA,NA,NA,9118,NA,NA,NA,NA,9.1,NA,20,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cacahuate confitado (chocolate),Azúcares con grasa,4,pieza,NA,16,83,2.1,5.4,NA,NA,NA,NA,NA,6.6,NA,33,2.6,9119,NA,NA,NA,NA,6,NA,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carlos V,Azúcares con grasa,0.5,pieza,NA,11,56,0.4,2.8,NA,NA,NA,NA,NA,16.5,NA,NA,NA,9120,NA,NA,NA,NA,6.6,NA,11,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chispas chocolate hershey,Azúcares con grasa,5,cucharadita,NA,17,89,0.8,4.8,NA,NA,NA,NA,NA,2.2,NA,43,4.6,9121,NA,NA,NA,NA,8.7,NA,17,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chispas de chocolate,Azúcares con grasa,5,cucharadita,NA,18,94,1.3,5.2,NA,NA,NA,NA,NA,13.8,NA,43,4.5,9122,NA,NA,NA,NA,8.9,NA,18,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate amargo,Azúcares con grasa,0.3333333333333333,pieza,NA,14,70,0.7,4.4,NA,NA,NA,NA,NA,0.5,NA,43,3.5,9123,NA,NA,NA,NA,6.3,NA,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate blanco,Azúcares con grasa,15,g,NA,15,81,0.9,4.8,NA,NA,NA,NA,NA,13.5,NA,44,3.9,9124,NA,NA,NA,NA,8.9,NA,15,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate blanco sin azúcar,Azúcares con grasa,19,g,NA,19,90,1.7,6.7,NA,NA,NA,NA,NA,NA,NA,35,3.5,9125,NA,NA,NA,NA,NA,NA,19,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate con arroz tostado,Azúcares con grasa,0.3333333333333333,barra,NA,13,70,1,3.9,NA,NA,NA,NA,NA,11.4,NA,NA,NA,9126,NA,NA,NA,NA,6.7,NA,13,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate con almendra,Azúcares con grasa,0.3333333333333333,barra,NA,15,77,1.3,5,NA,NA,NA,NA,NA,10.9,NA,NA,NA,9127,NA,NA,NA,NA,6.4,NA,15,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate con azúcar,Azúcares con grasa,15,g,NA,15,70,0.6,2.5,NA,NA,NA,NA,NA,5,NA,43,4.8,9128,NA,NA,NA,NA,NA,NA,15,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate con galleta y caramelo,Azúcares con grasa,0.5,barra,NA,15,75,0.7,3.7,NA,NA,NA,NA,NA,29.7,NA,44,4.3,9129,NA,NA,NA,NA,7.2,NA,15,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate con leche,Azúcares con grasa,15,g,NA,15,64,1.4,1.6,NA,NA,NA,NA,NA,57.3,NA,43,4.8,9130,NA,NA,NA,NA,NA,NA,15,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate con leche con menos del 10% proteínas,Azúcares con grasa,14,g,NA,14,60,1.3,1.5,NA,NA,NA,NA,NA,53.5,NA,NA,NA,9131,NA,NA,NA,NA,NA,NA,14,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate con leche y almendras sin azúcar,Azúcares con grasa,15,g,NA,15,86,1.5,6.3,NA,NA,NA,NA,NA,24.5,NA,NA,NA,9132,NA,NA,NA,NA,5.3,NA,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate con nugat,Azúcares con grasa,0.3333333333333333,pieza,NA,19,87,0.8,3.3,NA,NA,NA,NA,NA,32.3,NA,NA,NA,9133,NA,NA,NA,NA,11.5,NA,19,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate con nugat y cacahuate,Azúcares con grasa,0.3333333333333333,pieza,NA,19,90,1.4,4.5,NA,NA,NA,NA,NA,46.7,NA,41,4.7,9134,NA,NA,NA,NA,9.6,NA,19,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate de coco y almendra,Azúcares con grasa,0.3333333333333333,pieza,NA,16,78,0.7,4.4,NA,NA,NA,NA,NA,23.2,NA,NA,NA,9135,NA,NA,NA,NA,7.9,NA,16,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate de leche,Azúcares con grasa,0.6666666666666666,pieza,NA,17,88,1.3,4.9,NA,NA,NA,NA,NA,13,NA,43,4.2,9136,NA,NA,NA,NA,8.4,NA,17,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate de menta,Azúcares con grasa,2,pieza,NA,17,68,0.3,2,NA,NA,NA,NA,NA,0.2,NA,NA,NA,9137,NA,NA,NA,NA,11.2,NA,17,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate en polvo con más del 10% proteínas,Azúcares con grasa,15,g,NA,15,60,1.9,1,NA,NA,NA,NA,NA,14.1,NA,NA,NA,9138,NA,NA,NA,NA,NA,NA,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate en polvo con menos del 10% proteínas,Azúcares con grasa,12,g,NA,12,48,0.9,0.4,NA,NA,NA,NA,NA,45.8,NA,NA,NA,9139,NA,NA,NA,NA,NA,NA,12,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate en polvo DICONSA,Azúcares con grasa,25,g,NA,25,94,15,1.1,NA,NA,NA,NA,NA,162.5,NA,54,3.2,9140,NA,NA,NA,NA,5.4,NA,25,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate en polvo sin azúcar,Azúcares con grasa,3,cucharadita,NA,15,60,3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9141,NA,NA,NA,NA,NA,NA,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate fundido,Azúcares con grasa,0.75,cucharada,NA,14,59,0.3,1.5,NA,NA,NA,NA,NA,6.4,NA,43,4.7,9142,NA,NA,NA,NA,10.4,NA,14,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate rallado,Azúcares con grasa,5,cucharadita,NA,17,87,0.9,5.4,NA,NA,NA,NA,NA,0.7,NA,43,4.3,9143,NA,NA,NA,NA,7.7,NA,17,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate semi amargo,Azúcares con grasa,17,g,NA,17,81,0.7,5.1,NA,NA,NA,NA,NA,1.9,NA,43,4.6,9144,NA,NA,NA,NA,9.3,NA,17,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate sin azúcar,Azúcares con grasa,15,g,NA,15,85,2.1,5.8,NA,NA,NA,NA,NA,0.5,NA,35,2.1,9145,NA,NA,NA,NA,NA,NA,15,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cocada,Azúcares con grasa,0.75,pieza,NA,21,92,5.3,5.3,NA,NA,NA,NA,NA,30,NA,NA,NA,9146,NA,NA,NA,NA,6,NA,21,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crema en polvo para café,Azúcares con grasa,9,cucharadita,NA,18,98,0.9,6.4,NA,NA,NA,NA,NA,32.6,NA,NA,NA,9147,NA,NA,NA,NA,9.9,NA,18,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flan casero,Azúcares con grasa,0.2,taza,NA,61,89,2.8,2.5,NA,NA,NA,NA,NA,32.4,NA,65,9,9148,NA,NA,NA,NA,14.2,NA,61,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flan Danette,Azúcares con grasa,0.5,pieza,NA,50,54,1.5,1.5,NA,NA,NA,NA,NA,52,NA,NA,NA,9149,NA,NA,NA,NA,8.5,NA,50,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flan de caja preparado con leche descremada,Azúcares con grasa,0.2,taza,NA,61,63,1.8,1.1,NA,NA,NA,NA,NA,69.2,NA,NA,NA,9150,NA,NA,NA,NA,NA,NA,61,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flan de caja preparado con leche entera,Azúcares con grasa,0.2,taza,NA,61,69,1.8,1.8,NA,NA,NA,NA,NA,68.5,NA,NA,NA,9151,NA,NA,NA,NA,NA,NA,61,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gelatina de Leche Danette sabor cajeta,Azúcares con grasa,0.5,pieza,NA,50,66,2.7,1.9,NA,NA,NA,NA,NA,58.8,NA,NA,NA,9152,NA,NA,NA,NA,9,NA,50,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gelatina de Leche Danette sabor coco,Azúcares con grasa,0.5,pieza,NA,50,66,2.7,1.9,NA,NA,NA,NA,NA,57.2,NA,NA,NA,9153,NA,NA,NA,NA,8.9,NA,50,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gelatina de Leche Danette sabor fresa,Azúcares con grasa,0.5,pieza,NA,50,66,2.7,1.9,NA,NA,NA,NA,NA,57,NA,NA,NA,9154,NA,NA,NA,NA,9,NA,50,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gelatina de Leche Danette sabor vainilla,Azúcares con grasa,0.5,pieza,NA,50,66,2.7,1.9,NA,NA,NA,NA,NA,57.2,NA,NA,NA,9155,NA,NA,NA,NA,8.9,NA,50,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hershey's creme'n Arandano,Azúcares con grasa,0.25,pieza,NA,11,57,3.1,3.1,NA,NA,NA,NA,NA,13.7,NA,NA,NA,9156,NA,NA,NA,NA,5.2,NA,11,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarabe de coco,Azúcares con grasa,5,cucharada,NA,85,83,0.4,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9157,NA,NA,NA,NA,NA,NA,85,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kinder delice,Azúcares con grasa,0.5,paquete,NA,21,95,5.9,5.9,NA,NA,NA,NA,NA,20,NA,NA,NA,9158,NA,NA,NA,NA,7.4,NA,21,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kranky,Azúcares con grasa,0.3333333333333333,paquete,NA,15,67,2.2,2.2,NA,NA,NA,NA,NA,27,NA,NA,NA,9159,NA,NA,NA,NA,6.6,NA,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lunetas,Azúcares con grasa,0.3333333333333333,paquete (50),NA,16,79,0.7,3.4,NA,NA,NA,NA,NA,9.7,NA,33,3.8,9160,NA,NA,NA,NA,10.1,NA,16,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malvavisco con chocolate,Azúcares con grasa,0.5,pieza,NA,14,59,0.6,2.4,NA,NA,NA,NA,NA,23.5,NA,NA,NA,9161,NA,NA,NA,NA,6.3,NA,14,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
