alimento,categoria,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,fibra_g,acido_folico_ug,calcio_mg,hierro_mg,sodio_mg,azucar_equiv_g,indice_glucemico,carga_glucemica,clave,colesterol_mg,vitamina_a_ug_re,selenio_ug,categoria_grasa,azucar_por_equivalente_g,categoria_leche,peso_bruto_redondeado_g,hidratos_carbono_g,acido_ascorbico_mg,hierro_no_hem_mg,potasio_mg,fosforo_mg,indice_glicemico,carga_glicemica,etanol_g,subcategoria,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,grupo,generico,cantidad,verdura,fruta,cereal_sin_grasa,cereal_con_grasa,leguminosa,muy_bajo_aporte_grasa,bajo_aporte_grasa,moderado_aporte_grasa,alto_aporte_grasa,leche_descremada,leche_semidescremada,leche_entera,leche_con_azucar,grasa_sin_proteina,grasa_con_proteina,azucar,azucar_con_grasa,etanol,alimentos_libres_energia,kcal,proteina,lipidos,hidratos_carbono,restaurante,producto,kcal_por_equivalentes,aoambag,aoabag,aoamag,azucar_sin_grasa,verduras,frutas,leguminosas,libre
Toronja,NA,1,pieza,NA,162,54,0.9,0.2,NA,1.8,16.2,NA,NA,NA,NA,25,3.4,4197,NA,4.9,NA,NA,11.9,NA,246,13.7,86.1,0.2,225.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronja en gajos,NA,1,taza,NA,150,50,0.8,0.2,NA,1.7,15.9,NA,NA,NA,NA,NA,NA,4198,NA,18.3,NA,NA,11,NA,150,12.6,51.2,0.1,208.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronja enlatada con jugo,NA,0.5,taza,NA,125,46,0.9,0.1,NA,0.5,11.2,NA,NA,NA,NA,NA,NA,4199,NA,0,NA,NA,11,NA,125,11.5,42,0.3,213.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronjas en almíbar,NA,0.5,taza,NA,127,76,0.7,0.2,NA,0.5,11.5,NA,NA,NA,NA,NA,NA,4200,NA,0,NA,NA,19.1,NA,127,19.6,27,0.5,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuna,NA,2,pieza,NA,138,56,1,0.7,NA,5,0,NA,NA,NA,NA,NA,NA,4201,NA,6.9,NA,NA,0,NA,250,13.2,19.3,0.4,302.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuna Cardona,NA,2,pieza,NA,138,56,1,0.7,NA,5,0,NA,NA,NA,NA,NA,NA,4202,NA,6.9,NA,NA,0,NA,250,13.2,30.3,3.6,302.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuna picada,NA,1,taza,NA,150,62,1.1,0.8,NA,5.4,0,NA,NA,NA,NA,NA,NA,4203,NA,7.5,NA,NA,0,NA,150,14.4,21,0.5,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuna roja,NA,2,pieza,NA,138,56,1,0.7,NA,5,0,NA,NA,NA,NA,NA,NA,4204,NA,6.9,NA,NA,0,NA,250,13.2,30.3,3.6,302.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uva,NA,18,pieza,NA,86,61,0.6,0.5,NA,1.1,3.4,NA,NA,NA,NA,43,6.6,4205,NA,1.7,NA,NA,0,NA,126,15.3,9.4,0.2,158.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uva blanca,NA,1,taza,NA,87,59,0.6,0.3,NA,0.8,3.8,NA,NA,NA,NA,NA,NA,4206,NA,8.6,NA,NA,14.3,NA,92,15,3.8,0.3,167.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uva con semilla,NA,1,taza,NA,114,76,0.7,0.4,NA,1,4.3,NA,NA,NA,NA,NA,NA,4207,NA,7.8,NA,NA,18.7,NA,120,19.6,12.1,0.3,210.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
