categoria,alimento,cantidad_sugerida,unidad,peso_bruto_redondeado_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,sodio_mg,azucar_por_equivalente_g,indice_glucemico,carga_glucemica
Azúcares con grasa,Natilla Danette sabor Vainilla,1/2,pieza,50,50,60,1.5,1.8,9.3,60.2,7.9,ND,ND
Azúcares con grasa,Palanqueta de cacahuate,1/3,pieza,15,15,78,2.3,5.0,7.0,23.2,6.3,ND,ND
Azúcares con grasa,Paleta helada de café con cubierta de chocolate y almendras,1/5,pieza,21,21,74,1.0,5.3,5.5,ND,5.3,37.0,2.0
Azúcares con grasa,Paleta helada de chocolate cubierta con chocolate,1/5,pieza,21,21,72,1.0,4.9,5.9,10.8,ND,37.0,2.2
Azúcares con grasa,Paleta helada de crema con café cubierta de chocolate y almendras,1/5,pieza,21,21,74,1.0,5.3,5.5,ND,5.3,ND,ND
Azúcares con grasa,Paleta helada de vainilla cubierta con chocolate,1/4,pieza,24,24,83,1.1,5.7,6.9,13.5,ND,38.0,2.6
Azúcares con grasa,Paleta helada de vainilla cubierta con chocolate y almendras,1/4,pieza,23,23,80,1.0,5.8,5.8,11.8,ND,ND,ND
Azúcares con grasa,Pipián,15,g,15,15,77,0.9,4.7,7.7,381.4,ND,ND,ND
Azúcares con grasa,Rompope sin alcohol,1/4,taza,64,64,86,2.4,4.8,8.6,34.5,5.3,ND,ND
Azúcares con grasa,Salsa de cebollín,25,g,25,25,63,0.3,4.7,3.3,24.1,2.7,ND,ND
Azúcares con grasa,Salsa de Epazote,40,g,40,40,82,1.3,6.2,4.7,178.5,1.4,ND,ND
