alimento,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,colesterol_mg,vitamina_a_ug_re,calcio_mg,hierro_mg,sodio_mg,selenio_ug,categoria_grasa
Ostión enlatado,100,g,100,100,69,7.1,2.5,3.9,55.3,90.6,44.7,6.7,111.8,77.5,bajo
Pámpano,65,g,65,33,55,6.2,3.1,0.0,16.3,0.0,5.5,0.0,15.3,11.9,bajo
Pámpano cocido,25,g,25,25,53,5.9,3.0,0.0,15.9,9.1,10.9,0.2,19.1,11.7,bajo
Pámpano fileteado,35,g,35,35,60,6.7,3.3,0.0,17.5,0.0,6.0,0.0,16.5,12.8,bajo
Pancita de puerco,35,g,35,35,55,5.8,3.4,0.0,67.6,0.0,3.5,0.8,18.2,9.0,bajo
Pasta de anchoas,4,cucharadita,28,28,56,5.6,3.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,bajo
Pasta de camarón,30,g,30,30,54,6.2,2.8,0.5,0.0,0.0,0.0,0.1,0.0,0.0,bajo
Pasta de langosta,4,cucharadita,28,28,52,6.0,2.8,0.4,0.0,0.0,20.0,0.4,0.0,0.0,bajo
Pastrami de pavo,2,rebanada,42,42,59,7.7,2.6,0.7,22.8,0.0,3.7,0.7,439.2,6.8,bajo
Pato de crianza,60,g,60,39,51,7.1,2.3,0.0,30.0,9.4,4.3,0.9,28.9,5.4,bajo
Pavo,45,g,45,36,57,7.3,2.8,0.0,26.0,0.7,5.3,0.5,23.1,13.1,bajo
Pavo entero,45,g,45,36,57,7.3,2.8,0.0,26.0,0.7,5.3,0.5,23.1,11.7,bajo
Pechuga de pollo con piel,35,g,35,30,55,6.0,3.3,0.0,19.9,11.6,3.3,0.2,19.3,4.9,bajo
Pescado blanco,75,g,75,39,52,7.4,2.3,0.0,23.4,14.2,10.1,0.1,19.7,5.5,bajo
Pescado blanco cocido,30,g,30,30,52,7.3,2.3,0.0,22.9,11.6,9.9,0.1,19.4,4.2,bajo
Pescado blanco fileteado,35,g,35,35,47,6.7,2.1,0.0,21.0,12.6,9.1,0.1,17.9,4.4,bajo
Pescuezo de pollo sin piel,125,pieza,125,38,58,6.6,3.3,0.0,31.1,16.5,10.1,0.8,30.4,4.5,bajo
Pescuezo de res,50,g,50,33,50,6.7,2.4,0.0,19.8,37.7,1.6,0.6,25.4,6.1,bajo
Pierna de carnero,50,g,50,40,54,7.6,2.4,0.0,26.0,0.0,2.8,0.9,30.0,15.2,bajo
Pierna de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4,bajo
