alimento,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,colesterol_mg,vitamina_a_ug_re,calcio_mg,hierro_mg,sodio_mg,selenio_ug,categoria_grasa
Queso blanco,35,g,35,35,77,6.0,5.1,1.8,26.3,22.5,ND,ND,ND,5.1,moderado
Queso de soya,2,rebanada,56,56,84,7.0,4.6,3.8,ND,ND,106.0,0.0,12.0,0.0,moderado
Queso holandés,20,g,20,20,75,6.7,5.2,1.6,17.0,56.6,165.8,0.3,0.0,1.8,moderado
Queso Monterrey bajo en grasa,1,rebanada,28,28,88,7.9,6.0,0.2,18.0,40.0,197.0,0.2,158.0,0.0,moderado
Queso Mozzarella reducido en grasa,1,rebanada,28,28,71,6.8,4.5,0.8,17.9,35.6,219.0,0.1,173.3,0.0,moderado
Queso mozzarella semidescremado,30,g,30,30,76,7.3,4.8,0.8,19.2,37.2,234.6,0.1,185.7,4.3,moderado
Queso Muenster bajo en grasa,1,rebanada,28,28,77,6.9,4.9,14.1,18.0,49.0,148.0,0.1,168.0,0.0,moderado
Queso parmesano,3 1/2,cucharada,18,18,75,6.7,5.0,0.9,15.4,20.5,194.1,0.2,267.6,3.0,moderado
Queso parmesano duro,20,g,20,20,78,7.2,5.2,0.6,13.6,21.2,236.8,0.2,320.4,4.5,moderado
Queso parmesano en trozo,20,g,20,20,78,7.2,5.2,0.6,13.6,21.2,236.8,0.2,320.4,4.5,moderado
Queso parmesano rallado,3 1/2,cucharada,18,18,75,6.7,5.0,0.9,15.4,20.5,194.1,0.2,267.6,3.0,moderado
Queso ricotta semidescremado,55,g,55,55,76,6.3,4.3,2.8,16.9,57.8,149.5,0.2,68.8,9.2,moderado
Queso Tipo Americano Lala Light,30,g,30,30,63,5.0,3.8,1.7,ND,ND,ND,ND,480.0,ND,moderado
Salami de pavo,6,rebanada,42,42,72,8.1,3.9,0.7,31.9,0.8,16.8,0.5,421.7,11.1,moderado
Salchicha de pavo,1,pieza,61,61,120,14.6,6.4,1.0,56.4,6.7,13.5,0.9,407.3,0.0,moderado
Salchicha vegetariana,1,pieza,25,25,64,4.6,4.5,2.5,ND,ND,15.8,0.9,222.0,1.9,moderado
Salmón en aceite,35,g,35,35,71,7.6,4.9,0.0,28.0,6.3,27.7,0.3,165.6,16.1,moderado
Sardinas en aceite,3,pieza,36,36,75,8.9,4.1,0.0,51.1,11.5,137.5,1.1,181.8,19.0,moderado
Sardinas en tomate,1,pieza,38,38,71,7.9,4.0,0.3,23.2,12.2,91.2,0.9,157.3,15.4,moderado
Sesos de cerdo cocidos,50,g,50,50,69,6.1,4.8,0.0,1276.0,0.0,4.5,0.9,45.5,9.3,moderado
Sesos de cordero cocidos,50,g,50,50,73,6.3,5.1,0.0,1021.5,0.0,6.0,0.8,67.0,6.0,moderado
Sesos de ternera cocidos,50,g,50,50,68,5.7,4.8,0.0,1550.0,0.0,8.0,0.8,78.0,5.5,moderado
Sierra,50,g,50,38,78,7.3,5.2,0.0,30.0,50.6,1.9,0.4,0.0,5.3,moderado
Sierra fileteada,35,g,35,35,73,6.8,4.9,0.0,28.0,47.3,1.8,0.4,0.0,4.9,moderado
Sierra picada,35,g,35,35,73,6.8,4.9,0.0,28.0,47.3,1.8,0.4,0.0,4.9,moderado
Suadero crudo,29,g,29,29,76,7.8,4.8,0.0,20.9,0.0,1.7,1.0,20.3,0.0,moderado
Sustituto de queso mozzarella,1,rebanada,28,28,69,3.2,3.4,6.6,ND,122.0,171.0,0.1,192.0,0.0,moderado
Alón de pollo con piel cocido,1,pieza,98,51,117,11.6,8.6,0.0,35.7,20.4,6.1,0.6,34.1,9.4,alto
Alón de pollo con piel crudo,1,pieza,95,51,114,9.4,8.2,0.0,39.5,22.6,6.2,0.5,37.4,8.0,alto
Añejo tipo cotija,2,cucharada,24,24,70,6.8,8.0,0.3,20.4,156.0,206.4,0.6,0.0,1.0,alto
Carne de res semigrasosa,40,g,40,38,98,7.0,7.5,0.0,26.2,3.4,2.7,0.8,22.4,1.4,alto
Carne molida popular de res,40,g,40,33,97,5.2,8.3,0.0,24.3,3.9,2.6,0.6,19.4,0.7,alto
Carne molida regular,40,g,40,40,107,7.2,8.5,0.0,29.6,4.8,4.0,1.1,26.0,0.9,alto
Carne molida regular cocida,35,g,35,35,100,8.1,7.3,0.0,30.5,0.0,3.5,0.8,21.0,1.0,alto
Carne obscura de pollo con piel,40,g,40,40,95,6.7,7.3,0.0,32.4,19.6,4.4,0.4,29.2,1.9,alto
Cecina de res,50,g,50,50,98,7.3,7.4,0.0,42.6,0.0,3.5,0.8,602.4,1.4,alto
Cerdo en canal,40,g,40,28,111,3.8,10.6,0.0,20.7,0.6,1.4,0.2,12.3,1.1,alto
Cheez whiz,2,cucharada,33,33,91,4.0,6.9,3.0,24.8,ND,118.5,0.1,540.5,ND,alto
Chuleta de carnero,40,g,40,36,105,5.6,9.0,0.0,25.6,0.0,1.8,0.8,27.0,2.1,alto
Chuleta de cordero entera,1/3,pieza,82,45,94,8.3,6.5,0.0,29.9,ND,5.0,0.8,26.8,0.6,alto
Cordero,50,g,46,37,104,6.1,8.6,0.0,26.9,0.0,5.9,0.6,21.7,1.2,alto
Costilla de carnero,45,g,45,36,105,5.6,9.0,0.0,25.6,0.0,1.8,0.8,27.0,2.1,alto
Costilla de res,40,g,40,29,112,4.5,10.3,0.0,21.6,0.0,2.3,0.5,15.2,0.7,alto
Espaldilla,45,g,45,36,99,5.8,8.2,0.0,25.9,0.7,1.8,0.4,22.7,1.1,alto
Espaldilla de cerdo,45,g,45,36,99,5.8,8.2,0.0,25.9,0.7,1.8,0.4,22.7,1.1,alto
Espinazo,45,g,45,36,99,5.8,8.2,0.0,25.9,0.7,1.8,0.4,22.7,1.1,alto
Espinazo de cerdo,45,g,45,36,99,5.8,8.2,0.0,25.9,0.7,1.8,0.4,22.7,1.1,alto
Fondue de queso,3 1/2,cucharada,46,46,104,6.5,6.1,1.7,20.6,ND,216.5,0.2,60.2,0.6,alto
Huevo de gansa,1/2,pieza,72,63,116,8.7,8.3,0.8,533.7,115.9,37.8,2.3,86.6,3.2,alto
Huevo de pato,1,pieza,70,62,114,7.9,8.5,0.9,544.7,118.3,39.6,2.4,89.8,2.9,alto
Huevo de pavo,1,pieza,79,70,119,9.5,8.3,0.8,648.6,115.4,68.6,2.9,105.0,23.8,alto
Huevo estrellado,1,pieza,46,46,90,6.3,7.0,0.4,210.2,88.8,27.1,0.9,93.8,2.1,alto
Huevo frito,1,pieza,46,46,90,6.3,7.0,0.4,210.2,88.8,27.1,0.9,93.8,2.1,alto
Huevo revuelto,60,g,60,60,100,6.7,7.3,1.3,211.5,84.0,42.6,0.7,168.0,1.5,alto
Jamón ahumado,1 1/2,rebanada delgada,32,32,95,4.9,8.2,0.2,28.0,0.0,3.0,0.4,382.5,0.8,alto
Jamón americano,1 1/2,rebanada delgada,32,32,95,4.9,8.2,0.2,28.0,0.0,3.2,0.4,391.2,0.8,alto
Jamón bajo en sodio,1 1/2,rebanada delgada,27,27,82,4.2,7.0,0.2,24.0,0.0,1.7,0.4,225.4,0.7,alto
Jamón cocido,1 1/2,rebanada delgada,32,32,95,4.9,8.2,0.2,28.0,0.0,3.0,0.5,424.5,0.8,alto
Jamón del diablo,3 1/2,cucharada,40,40,100,6.2,8.6,0.0,28.6,0.0,0.0,0.3,333.3,2.7,alto
Jamón horneado,1 1/2,rebanada delgada,32,32,95,4.9,8.2,0.2,28.0,0.0,3.2,0.4,391.2,0.8,alto
Jamón Virginia,1 1/2,rebanada delgada,32,32,95,4.9,8.2,0.2,28.0,0.0,3.0,0.5,424.5,0.8,alto
Jumiles,20,g,20,20,89,6.4,6.8,0.0,0.0,0.0,15.6,2.0,0.0,0.0,alto
Lengua de cerdo cocida,30,g,30,30,81,7.2,5.6,0.0,43.8,0.0,5.7,1.5,32.7,4.7,alto
Lengua de res cocida,45,g,45,35,100,6.8,7.8,0.0,46.3,0.0,1.8,0.9,22.8,0.9,alto
Maciza de cerdo,35,g,35,35,92,5.9,7.4,0.0,25.2,0.7,4.9,0.3,19.6,1.5,alto
Maciza de puerco,35,g,35,35,92,5.9,7.4,0.0,25.2,0.7,4.9,0.3,19.6,1.5,alto
Molida de carnero,40,g,40,38,96,6.9,7.4,0.0,27.0,0.0,2.7,1.0,30.4,2.6,alto
Molida popular de res,40,g,40,33,97,5.2,8.3,0.0,24.3,3.9,2.6,0.6,19.4,1.0,alto
Morcilla,1,rebanada gruesa,25,25,95,3.7,8.6,0.3,30.0,0.0,1.5,1.6,170.0,0.6,alto
Morcilla de arroz,1,rebanada gruesa,25,25,95,3.7,8.6,0.3,30.0,0.0,1.5,1.6,170.0,0.6,alto
Moronga,1,rebanada gruesa,25,25,95,3.7,8.6,0.3,30.0,0.0,1.5,1.6,170.0,0.6,alto
Mortadela,1 1/2,rebanada,32,32,99,5.3,8.0,1.1,18.3,0.0,6.3,0.4,392.7,0.0,alto
Mozzarella fresco,35,g,35,35,105,7.8,7.8,0.8,27.5,60.9,176.8,0.2,219.5,1.3,alto
Nugget de pollo,2,pieza,34,34,101,5.2,6.7,4.8,14.6,0.0,10.5,0.4,189.4,0.9,alto
Nugget de queso,3,pieza,43,43,105,4.5,5.5,10.0,5.0,0.0,75.2,0.2,531.2,0.9,alto
Nuguet de soya,2,pieza,34,34,98,4.8,6.4,5.3,0.8,0.0,16.0,0.6,283.6,0.0,alto
Ostión ahumado,55,g,55,55,109,4.9,6.9,6.4,44.6,49.8,34.3,3.8,229.7,3.8,alto
Ostión empanizado,55,g,55,55,109,4.9,6.9,6.4,44.6,49.8,34.3,3.8,229.7,3.8,alto
Palitos de pescado congelados,1 1/2,pieza,42,42,116,6.6,5.3,10.1,48.0,13.5,9.0,0.3,247.5,5.9,alto
Paloma,45,g,45,35,102,6.4,8.2,0.0,32.9,25.3,4.2,1.2,18.7,0.9,alto
Pastel de pavo,1 1/2,rebanada,32,32,105,3.9,9.6,0.6,19.5,0.0,1.5,0.2,406.5,1.3,alto
Pastel de pollo,40,g,40,40,106,4.0,8.7,2.9,28.6,0.0,41.4,0.7,511.4,0.6,alto
Pastel de puerco,1 1/2,rebanada,32,32,105,3.9,9.6,0.6,19.5,0.0,1.5,0.2,406.5,0.6,alto
Pastel de ternera,40,g,40,40,106,4.0,8.7,2.9,28.6,0.0,41.4,0.7,511.4,0.6,alto
